0	0	93.3380951166	-2.3561981634	-0.000242431091593	0.000242431982088
0	1	92.633687177	-2.36383160291	-0.000238757886464	1.00024243198
0	2	91.9347594765	-2.37158156518	-0.000235084681364	2.00024243197
0	3	91.2414379545	-2.37944978621	-0.000231411476264	3.00024243196
0	4	90.5538513814	-2.38743799683	-0.000227738271164	4.00024243196
0	5	89.8721313868	-2.39554791979	-0.00022406506605	5.00024243195
0	6	89.1964124839	-2.40378126667	-0.000220391860964	6.00024243194
0	7	88.5268320906	-2.41213973463	-0.000216718655835	7.00024243193
0	8	87.863530546	-2.42062500282	-0.000213045450735	8.00024243193
0	9	87.2066511225	-2.4292387287	-0.000209372245635	9.00024243192
0	10	86.5563400335	-2.43798254402	-0.000205699040535	10.0002424319
0	11	85.912746435	-2.4468580506	-0.000202025835435	11.0002424319
0	12	85.2760224213	-2.45586681589	-0.000198352630335	12.0002424319
0	13	84.6463230152	-2.46501036821	-0.000194679425221	13.0002424319
0	14	84.0238061504	-2.47429019182	-0.00019100622012	14.0002424319
0	15	83.4086326467	-2.48370772161	-0.000187333015035	15.0002424319
0	16	82.8009661779	-2.49326433771	-0.000183659809935	16.0002424319
0	17	82.2009732302	-2.50296135964	-0.000179986604806	17.0002424319
0	18	81.6088230524	-2.51280004038	-0.00017631339972	18.0002424319
0	19	81.0246875958	-2.52278156006	-0.000172640194592	19.0002424319
0	20	80.4487414445	-2.53290701947	-0.000168966989492	20.0002424318
0	21	79.8811617342	-2.54317743332	-0.000165293784391	21.0002424318
0	22	79.3221280602	-2.55359372325	-0.000161620579291	22.0002424318
0	23	78.7718223732	-2.56415671065	-0.000157947374205	23.0002424318
0	24	78.2304288624	-2.57486710927	-0.000154274169091	24.0002424318
0	25	77.6981338257	-2.58572551764	-0.000150600963977	25.0002424318
0	26	77.1751255263	-2.59673241134	-0.000146927758891	26.0002424318
0	27	76.6615940351	-2.60788813516	-0.000143254553791	27.0002424318
0	28	76.1577310586	-2.61919289508	-0.000139581348677	28.0002424318
0	29	75.6637297521	-2.6306467503	-0.000135908143577	29.0002424318
0	30	75.1797845169	-2.64224960511	-0.000132234938476	30.0002424318
0	31	74.7060907825	-2.65400120087	-0.000128561733362	31.0002424318
0	32	74.2428447731	-2.66590110794	-0.000124888528262	32.0002424318
0	33	73.7902432575	-2.67794871779	-0.000121215323162	33.0002424318
0	34	73.3484832836	-2.69014323524	-0.000117542118048	34.0002424318
0	35	72.9177618965	-2.70248367086	-0.000113868912948	35.0002424317
0	36	72.4982758416	-2.71496883367	-0.000110195707862	36.0002424317
0	37	72.0902212509	-2.72759732418	-0.000106522502747	37.0002424317
0	38	71.6937933157	-2.74036752779	-0.000102849297647	38.0002424317
0	39	71.309185944	-2.75327760862	-9.91760925331e-05	39.0002424317
0	40	70.9365914039	-2.76632550394	-9.5502887433e-05	40.0002424317
0	41	70.5761999544	-2.7795089191	-9.18296823471e-05	41.0002424317
0	42	70.2281994643	-2.79282532321	-8.81564772328e-05	42.0002424317
0	43	69.89277502	-2.80627194548	-8.44832721185e-05	43.0002424317
0	44	69.5701085237	-2.8198457724	-8.08100670326e-05	44.0002424317
0	45	69.2603782837	-2.83354354577	-7.71368619183e-05	45.0002424317
0	46	68.9637585983	-2.84736176168	-7.34636568183e-05	46.0002424317
0	47	68.6804193348	-2.86129667046	-6.9790451704e-05	47.0002424317
0	48	68.4105255059	-2.87534427764	-6.61172466181e-05	48.0002424317
0	49	68.1542368456	-2.88950034613	-6.24440415038e-05	49.0002424317
0	50	67.9117073854	-2.90376039934	-5.87708364037e-05	50.0002424316
0	51	67.6830850361	-2.91811972565	-5.50976312894e-05	51.0002424316
0	52	67.4685111737	-2.93257338399	-5.14244261893e-05	52.0002424316
0	53	67.2681202354	-2.94711621058	-4.77512211035e-05	53.0002424316
0	54	67.082039325	-2.961742827	-4.40780159892e-05	54.0002424316
0	55	66.9103878333	-2.97644764938	-4.04048108749e-05	55.0002424316
0	56	66.7532770731	-2.99122489879	-3.6731605789e-05	56.0002424316
0	57	66.6108099335	-3.00606861281	-3.30584006889e-05	57.0002424316
0	58	66.4830805544	-3.02097265821	-2.93851955746e-05	58.0002424316
0	59	66.3701740242	-3.0359307447	-2.57119904745e-05	59.0002424316
0	60	66.2721661031	-3.05093643959	-2.20387853744e-05	60.0002424316
0	61	66.1891229735	-3.06598318356	-1.83655802601e-05	61.0002424316
0	62	66.1211010193	-3.08106430701	-1.46923751743e-05	62.0002424316
0	63	66.0681466366	-3.09617304737	-1.101917006e-05	63.0002424316
0	64	66.0302960769	-3.11130256688	-7.34596495988e-06	64.0002424316
0	65	66.0075753228	-3.12644597092	-3.67275984559e-06	65.0002424315
0	66	66.0	3.14159	2.32375896303e-10	65.9998248631
0	67	66.0075753228	3.15675035587	7.34819120396e-06	67.000484863
0	68	66.0302960769	3.17189375992	1.46946014183e-05	68.000484863
0	69	66.0681466366	3.18702327942	2.20410116185e-05	69.000484863
0	70	66.1211010193	3.20213201978	2.93874218187e-05	70.000484863
0	71	66.1891229735	3.21721314324	3.67338320331e-05	71.0004848629
0	72	66.2721661031	3.2322598872	4.40802422332e-05	72.0004848629
0	73	66.3701740242	3.2472655821	5.14266524476e-05	73.0004848629
0	74	66.4830805544	3.26222366858	5.87730626478e-05	74.0004848629
0	75	66.6108099335	3.27712771399	6.61194728622e-05	75.0004848628
0	76	66.7532770731	3.29197142801	7.34658830623e-05	76.0004848628
0	77	66.9103878333	3.30674867741	8.08122932767e-05	77.0004848628
